Gene	Gene_short	Replicon_name
pdxP	pdxP	ACAC001.D.00005.C001
pdxK_basu	pdxK	ACAC001.D.00005.C001
pdxP	pdxP	ACAC001.D.00005.C001
serC_pdxF	serC	ACAC001.D.00005.C001
pdxP	pdxP	ACAC001.D.00005.C001
pdxP	pdxP	ACAC001.D.00006.C001
pdxK_basu	pdxK	ACAC001.D.00006.C001
pdxS	pdxS	ACAC001.D.00006.C001
pdxT	pdxT	ACAC001.D.00006.C001
yggS	yggS	ACAC001.D.00006.C001
DXS	DXS	ACAC001.D.00006.C001
pdxY	pdxY	ACAC001.D.00006.C001
pdxT	pdxT	ACAC001.D.00006.C001
pdxP	pdxP	ACAC001.D.00006.C001
pdxP	pdxP	ACAC001.D.00006.C001
serC_pdxF	serC	ACAC001.D.00006.C001
pdxP	pdxP	ACAC002.D.00001.C001
pdxA	pdxA	ACAC002.D.00001.C001
pdxJ	pdxJ	ACAC002.D.00001.C001
pdxH	pdxH	ACAC002.D.00001.C001
DXS	DXS	ACAC002.D.00001.C001
yggS	yggS	ACAC002.D.00001.C001
DXS	DXS	ACAC002.D.00001.C001
pdxI	pdxI	ACAM001.D.00001.C001
DXS	DXS	ACAM001.D.00001.C001
serC_pdxF	serC	ACAM001.D.00001.C001
pdxH	pdxH	ACAM001.D.00001.C001
yggS	yggS	ACAM001.D.00001.C001
pdxP	pdxP	ACAM001.D.00001.C001
pdxP	pdxP	ACAM001.D.00001.C001
pdxT	pdxT	ACAM001.D.00001.C001
pdxS	pdxS	ACAM001.D.00001.C001
DXS	DXS	ACAM001.D.00001.C001
serC_pdxF	serC	ACAR001.D.00001.C001
yggS	yggS	ACAR001.D.00001.C001
pdxT	pdxT	ACAR001.D.00001.C001
pdxS	pdxS	ACAR001.D.00001.C001
DXS	DXS	ACAR001.D.00001.C001
yggS	yggS	ACAS001.D.00001.C001
pdxH	pdxH	ACAS001.D.00001.C001
DXS	DXS	ACAS001.D.00001.C001
pdxA	pdxA	ACAS001.D.00001.C001
pdxJ	pdxJ	ACAS001.D.00001.C001
DXS	DXS	ACAS001.D.00001.C001
DXS	DXS	ACAS001.D.00002.C001
yggS	yggS	ACAS001.D.00002.C001
pdxJ	pdxJ	ACAS001.D.00002.C001
pdxA	pdxA	ACAS001.D.00002.C001
DXS	DXS	ACAS001.D.00002.C001
pdxH	pdxH	ACAS001.D.00002.C001
pdxH	pdxH	ACAS001.D.00003.C001
DXS	DXS	ACAS001.D.00003.C001
yggS	yggS	ACAS001.D.00003.C001
pdxJ	pdxJ	ACAS001.D.00003.C001
pdxA	pdxA	ACAS001.D.00003.C001
DXS	DXS	ACAS001.D.00003.C001
yggS	yggS	ACAV001.D.00001.C001
pdxJ	pdxJ	ACAV001.D.00001.C001
pdxY	pdxY	ACAV001.D.00001.C001
serC_pdxF	serC	ACAV001.D.00001.C001
pdxH	pdxH	ACAV001.D.00001.C001
DXS	DXS	ACAV001.D.00001.C001
pdxA	pdxA	ACAV001.D.00001.C001
pdxA_4	pdxA	ACAV001.D.00001.C001
yggS	yggS	ACAX001.D.00001.C001
serC_pdxF	serC	ACBA001.D.00001.C001
yggS	yggS	ACBA001.D.00001.C001
pdxS	pdxS	ACBA001.D.00001.C001
pdxT	pdxT	ACBA001.D.00001.C001
pdxT	pdxT	ACBA001.D.00001.C001
pdxH	pdxH	ACBA001.D.00001.C001
pdxH	pdxH	ACBA002.D.00001.C001
serC_pdxF	serC	ACBA002.D.00001.C001
DXS	DXS	ACBA002.D.00001.C001
pdxS	pdxS	ACBA002.D.00001.C001
pdxT	pdxT	ACBA002.D.00001.C001
yggS	yggS	ACBA002.D.00001.C001
serC_pdxF	serC	ACBA003.D.00001.C001
pdxH	pdxH	ACBA003.D.00001.C001
yggS	yggS	ACBA003.D.00001.C001
pdxT	pdxT	ACBA003.D.00001.C001
pdxS	pdxS	ACBA003.D.00001.C001
DXS	DXS	ACBA003.D.00001.C001
serC_pdxF	serC	ACBA004.D.00001.C001
pdxH	pdxH	ACBA004.D.00001.C001
DXS	DXS	ACBA004.D.00001.C001
pdxS	pdxS	ACBA004.D.00001.C001
pdxT	pdxT	ACBA004.D.00001.C001
yggS	yggS	ACBA004.D.00001.C001
pdxH	pdxH	ACBA005.D.00001.C001
serC_pdxF	serC	ACBA005.D.00001.C001
DXS	DXS	ACBA005.D.00001.C001
pdxS	pdxS	ACBA005.D.00001.C001
pdxT	pdxT	ACBA005.D.00001.C001
yggS	yggS	ACBA005.D.00001.C001
yggS	yggS	ACBA006.D.00001.C001
DXS	DXS	ACBA006.D.00001.C001
pdxI	pdxI	ACBA006.D.00001.C001
pdxI	pdxI	ACBA006.D.00001.C001
pdxI	pdxI	ACBA006.D.00001.C001
pdxI	pdxI	ACBA006.D.00001.C001
pdxH	pdxH	ACBA006.D.00001.C001
pdxI	pdxI	ACBA006.D.00001.C001
pdxS	pdxS	ACBA006.D.00001.C001
pdxT	pdxT	ACBA006.D.00001.C001
pdxI	pdxI	ACBA006.D.00001.C001
yggS	yggS	ACBA007.D.00001.C001
epd	epd	ACBA007.D.00001.C001
pdxJ	pdxJ	ACBA007.D.00001.C001
serC_pdxF	serC	ACBA007.D.00001.C001
pdxB	pdxB	ACBA007.D.00001.C001
pdxA_3	pdxA	ACBA007.D.00001.C001
DXS	DXS	ACBA007.D.00001.C001
pdxH	pdxH	ACBA007.D.00001.C001
yggS	yggS	ACBA007.D.00002.C001
epd	epd	ACBA007.D.00002.C001
pdxJ	pdxJ	ACBA007.D.00002.C001
serC_pdxF	serC	ACBA007.D.00002.C001
pdxB	pdxB	ACBA007.D.00002.C001
pdxA_3	pdxA	ACBA007.D.00002.C001
DXS	DXS	ACBA007.D.00002.C001
pdxH	pdxH	ACBA007.D.00002.C001
pdxH	pdxH	ACBA007.D.00003.C001
DXS	DXS	ACBA007.D.00003.C001
pdxA_3	pdxA	ACBA007.D.00003.C001
pdxB	pdxB	ACBA007.D.00003.C001
serC_pdxF	serC	ACBA007.D.00003.C001
pdxJ	pdxJ	ACBA007.D.00003.C001
epd	epd	ACBA007.D.00003.C001
yggS	yggS	ACBA007.D.00003.C001
yggS	yggS	ACBA007.D.00004.C001
epd	epd	ACBA007.D.00004.C001
pdxJ	pdxJ	ACBA007.D.00004.C001
serC_pdxF	serC	ACBA007.D.00004.C001
pdxB	pdxB	ACBA007.D.00004.C001
pdxA_3	pdxA	ACBA007.D.00004.C001
DXS	DXS	ACBA007.D.00004.C001
pdxH	pdxH	ACBA007.D.00004.C001
pdxH	pdxH	ACBA007.D.00005.C001
DXS	DXS	ACBA007.D.00005.C001
pdxA_3	pdxA	ACBA007.D.00005.C001
pdxB	pdxB	ACBA007.D.00005.C001
serC_pdxF	serC	ACBA007.D.00005.C001
pdxJ	pdxJ	ACBA007.D.00005.C001
epd	epd	ACBA007.D.00005.C001
yggS	yggS	ACBA007.D.00005.C001
yggS	yggS	ACBA007.D.00006.C001
epd	epd	ACBA007.D.00006.C001
pdxJ	pdxJ	ACBA007.D.00006.C001
serC_pdxF	serC	ACBA007.D.00006.C001
pdxB	pdxB	ACBA007.D.00006.C001
pdxA_3	pdxA	ACBA007.D.00006.C001
DXS	DXS	ACBA007.D.00006.C001
pdxH	pdxH	ACBA007.D.00006.C001
pdxJ	pdxJ	ACBA007.D.00007.C001
serC_pdxF	serC	ACBA007.D.00007.C001
pdxB	pdxB	ACBA007.D.00007.C001
pdxA_3	pdxA	ACBA007.D.00007.C001
DXS	DXS	ACBA007.D.00007.C001
pdxH	pdxH	ACBA007.D.00007.C001
yggS	yggS	ACBA007.D.00007.C001
epd	epd	ACBA007.D.00007.C001
pdxH	pdxH	ACBA007.D.00008.C001
yggS	yggS	ACBA007.D.00008.C001
epd	epd	ACBA007.D.00008.C001
pdxJ	pdxJ	ACBA007.D.00008.C001
serC_pdxF	serC	ACBA007.D.00008.C001
pdxB	pdxB	ACBA007.D.00008.C001
pdxA_3	pdxA	ACBA007.D.00008.C001
DXS	DXS	ACBA007.D.00008.C001
yggS	yggS	ACBA007.D.00009.C001
epd	epd	ACBA007.D.00009.C001
pdxJ	pdxJ	ACBA007.D.00009.C001
serC_pdxF	serC	ACBA007.D.00009.C001
pdxB	pdxB	ACBA007.D.00009.C001
pdxA_3	pdxA	ACBA007.D.00009.C001
DXS	DXS	ACBA007.D.00009.C001
pdxH	pdxH	ACBA007.D.00009.C001
yggS	yggS	ACBA007.D.00010.C001
epd	epd	ACBA007.D.00010.C001
pdxJ	pdxJ	ACBA007.D.00010.C001
serC_pdxF	serC	ACBA007.D.00010.C001
pdxB	pdxB	ACBA007.D.00010.C001
pdxA_3	pdxA	ACBA007.D.00010.C001
DXS	DXS	ACBA007.D.00010.C001
pdxH	pdxH	ACBA007.D.00010.C001
yggS	yggS	ACBA007.D.00011.C001
epd	epd	ACBA007.D.00011.C001
pdxJ	pdxJ	ACBA007.D.00011.C001
serC_pdxF	serC	ACBA007.D.00011.C001
pdxB	pdxB	ACBA007.D.00011.C001
pdxA_3	pdxA	ACBA007.D.00011.C001
DXS	DXS	ACBA007.D.00011.C001
pdxH	pdxH	ACBA007.D.00011.C001
yggS	yggS	ACBA007.D.00012.C001
epd	epd	ACBA007.D.00012.C001
pdxJ	pdxJ	ACBA007.D.00012.C001
serC_pdxF	serC	ACBA007.D.00012.C001
pdxB	pdxB	ACBA007.D.00012.C001
pdxA_3	pdxA	ACBA007.D.00012.C001
DXS	DXS	ACBA007.D.00012.C001
pdxH	pdxH	ACBA007.D.00012.C001
pdxH	pdxH	ACBA007.D.00013.C001
DXS	DXS	ACBA007.D.00013.C001
pdxA_3	pdxA	ACBA007.D.00013.C001
pdxB	pdxB	ACBA007.D.00013.C001
serC_pdxF	serC	ACBA007.D.00013.C001
pdxJ	pdxJ	ACBA007.D.00013.C001
epd	epd	ACBA007.D.00013.C001
yggS	yggS	ACBA007.D.00013.C001
DXS	DXS	ACBA007.D.00014.C001
pdxB	pdxB	ACBA007.D.00014.C001
serC_pdxF	serC	ACBA007.D.00014.C001
pdxJ	pdxJ	ACBA007.D.00014.C001
pdxH	pdxH	ACBA007.D.00014.C001
yggS	yggS	ACBA007.D.00014.C001
epd	epd	ACBA007.D.00014.C001
pdxA_3	pdxA	ACBA007.D.00014.C001
DXS	DXS	ACBA007.D.00015.C001
pdxH	pdxH	ACBA007.D.00015.C001
yggS	yggS	ACBA007.D.00015.C001
epd	epd	ACBA007.D.00015.C001
pdxJ	pdxJ	ACBA007.D.00015.C001
serC_pdxF	serC	ACBA007.D.00015.C001
pdxB	pdxB	ACBA007.D.00015.C001
pdxA_3	pdxA	ACBA007.D.00015.C001
yggS	yggS	ACBA007.D.00016.C001
epd	epd	ACBA007.D.00016.C001
pdxJ	pdxJ	ACBA007.D.00016.C001
serC_pdxF	serC	ACBA007.D.00016.C001
pdxB	pdxB	ACBA007.D.00016.C001
pdxA_3	pdxA	ACBA007.D.00016.C001
DXS	DXS	ACBA007.D.00016.C001
pdxH	pdxH	ACBA007.D.00016.C001
yggS	yggS	ACBA007.D.00017.C001
epd	epd	ACBA007.D.00017.C001
pdxJ	pdxJ	ACBA007.D.00017.C001
serC_pdxF	serC	ACBA007.D.00017.C001
pdxB	pdxB	ACBA007.D.00017.C001
pdxA_3	pdxA	ACBA007.D.00017.C001
DXS	DXS	ACBA007.D.00017.C001
pdxH	pdxH	ACBA007.D.00017.C001
pdxH	pdxH	ACBA007.D.00018.C001
DXS	DXS	ACBA007.D.00018.C001
pdxA_3	pdxA	ACBA007.D.00018.C001
pdxB	pdxB	ACBA007.D.00018.C001
serC_pdxF	serC	ACBA007.D.00018.C001
pdxJ	pdxJ	ACBA007.D.00018.C001
epd	epd	ACBA007.D.00018.C001
yggS	yggS	ACBA007.D.00018.C001
pdxH	pdxH	ACBA007.D.00019.C001
DXS	DXS	ACBA007.D.00019.C001
pdxA_3	pdxA	ACBA007.D.00019.C001
pdxB	pdxB	ACBA007.D.00019.C001
serC_pdxF	serC	ACBA007.D.00019.C001
pdxJ	pdxJ	ACBA007.D.00019.C001
epd	epd	ACBA007.D.00019.C001
yggS	yggS	ACBA007.D.00019.C001
pdxH	pdxH	ACBA007.D.00020.C001
DXS	DXS	ACBA007.D.00020.C001
pdxA_3	pdxA	ACBA007.D.00020.C001
pdxB	pdxB	ACBA007.D.00020.C001
serC_pdxF	serC	ACBA007.D.00020.C001
pdxJ	pdxJ	ACBA007.D.00020.C001
epd	epd	ACBA007.D.00020.C001
yggS	yggS	ACBA007.D.00020.C001
pdxH	pdxH	ACBA007.D.00021.C001
DXS	DXS	ACBA007.D.00021.C001
pdxA_3	pdxA	ACBA007.D.00021.C001
pdxB	pdxB	ACBA007.D.00021.C001
serC_pdxF	serC	ACBA007.D.00021.C001
pdxJ	pdxJ	ACBA007.D.00021.C001
epd	epd	ACBA007.D.00021.C001
yggS	yggS	ACBA007.D.00021.C001
yggS	yggS	ACBA007.D.00022.C001
epd	epd	ACBA007.D.00022.C001
pdxJ	pdxJ	ACBA007.D.00022.C001
serC_pdxF	serC	ACBA007.D.00022.C001
pdxB	pdxB	ACBA007.D.00022.C001
pdxA_3	pdxA	ACBA007.D.00022.C001
DXS	DXS	ACBA007.D.00022.C001
pdxH	pdxH	ACBA007.D.00022.C001
DXS	DXS	ACBA007.D.00023.C001
pdxA_3	pdxA	ACBA007.D.00023.C001
pdxB	pdxB	ACBA007.D.00023.C001
serC_pdxF	serC	ACBA007.D.00023.C001
pdxJ	pdxJ	ACBA007.D.00023.C001
epd	epd	ACBA007.D.00023.C001
yggS	yggS	ACBA007.D.00023.C001
pdxH	pdxH	ACBA007.D.00024.C001
DXS	DXS	ACBA007.D.00024.C001
pdxA_3	pdxA	ACBA007.D.00024.C001
pdxB	pdxB	ACBA007.D.00024.C001
serC_pdxF	serC	ACBA007.D.00024.C001
pdxJ	pdxJ	ACBA007.D.00024.C001
epd	epd	ACBA007.D.00024.C001
yggS	yggS	ACBA007.D.00024.C001
pdxH	pdxH	ACBA007.D.00025.C001
DXS	DXS	ACBA007.D.00025.C001
pdxA_3	pdxA	ACBA007.D.00025.C001
pdxB	pdxB	ACBA007.D.00025.C001
serC_pdxF	serC	ACBA007.D.00025.C001
pdxJ	pdxJ	ACBA007.D.00025.C001
epd	epd	ACBA007.D.00025.C001
yggS	yggS	ACBA007.D.00025.C001
pdxJ	pdxJ	ACBA007.D.00026.C001
serC_pdxF	serC	ACBA007.D.00026.C001
pdxB	pdxB	ACBA007.D.00026.C001
pdxA_3	pdxA	ACBA007.D.00026.C001
DXS	DXS	ACBA007.D.00026.C001
pdxH	pdxH	ACBA007.D.00026.C001
yggS	yggS	ACBA007.D.00026.C001
epd	epd	ACBA007.D.00026.C001
pdxH	pdxH	ACBA007.D.00027.C001
DXS	DXS	ACBA007.D.00027.C001
pdxA_3	pdxA	ACBA007.D.00027.C001
pdxB	pdxB	ACBA007.D.00027.C001
serC_pdxF	serC	ACBA007.D.00027.C001
pdxJ	pdxJ	ACBA007.D.00027.C001
epd	epd	ACBA007.D.00027.C001
yggS	yggS	ACBA007.D.00027.C001
pdxH	pdxH	ACBA007.D.00028.C001
DXS	DXS	ACBA007.D.00028.C001
pdxA_3	pdxA	ACBA007.D.00028.C001
pdxB	pdxB	ACBA007.D.00028.C001
serC_pdxF	serC	ACBA007.D.00028.C001
pdxJ	pdxJ	ACBA007.D.00028.C001
epd	epd	ACBA007.D.00028.C001
yggS	yggS	ACBA007.D.00028.C001
epd	epd	ACBA007.D.00029.C001
yggS	yggS	ACBA007.D.00029.C001
pdxH	pdxH	ACBA007.D.00029.C001
DXS	DXS	ACBA007.D.00029.C001
pdxA_3	pdxA	ACBA007.D.00029.C001
pdxB	pdxB	ACBA007.D.00029.C001
serC_pdxF	serC	ACBA007.D.00029.C001
pdxJ	pdxJ	ACBA007.D.00029.C001
pdxH	pdxH	ACBA007.D.00030.C001
DXS	DXS	ACBA007.D.00030.C001
pdxA_3	pdxA	ACBA007.D.00030.C001
pdxB	pdxB	ACBA007.D.00030.C001
serC_pdxF	serC	ACBA007.D.00030.C001
pdxJ	pdxJ	ACBA007.D.00030.C001
epd	epd	ACBA007.D.00030.C001
yggS	yggS	ACBA007.D.00030.C001
pdxH	pdxH	ACBA007.D.00031.C001
DXS	DXS	ACBA007.D.00031.C001
pdxA_3	pdxA	ACBA007.D.00031.C001
pdxB	pdxB	ACBA007.D.00031.C001
serC_pdxF	serC	ACBA007.D.00031.C001
pdxJ	pdxJ	ACBA007.D.00031.C001
epd	epd	ACBA007.D.00031.C001
yggS	yggS	ACBA007.D.00031.C001
yggS	yggS	ACBA007.D.00032.C001
epd	epd	ACBA007.D.00032.C001
pdxS	pdxS	ACBA007.D.00032.C001
pdxJ	pdxJ	ACBA007.D.00032.C001
serC_pdxF	serC	ACBA007.D.00032.C001
pdxB	pdxB	ACBA007.D.00032.C001
pdxA_3	pdxA	ACBA007.D.00032.C001
DXS	DXS	ACBA007.D.00032.C001
pdxH	pdxH	ACBA007.D.00032.C001
pdxH	pdxH	ACBA007.D.00033.C001
DXS	DXS	ACBA007.D.00033.C001
pdxA_3	pdxA	ACBA007.D.00033.C001
pdxB	pdxB	ACBA007.D.00033.C001
serC_pdxF	serC	ACBA007.D.00033.C001
pdxJ	pdxJ	ACBA007.D.00033.C001
epd	epd	ACBA007.D.00033.C001
yggS	yggS	ACBA007.D.00033.C001
yggS	yggS	ACBA007.D.00034.C001
epd	epd	ACBA007.D.00034.C001
pdxS	pdxS	ACBA007.D.00034.C001
pdxJ	pdxJ	ACBA007.D.00034.C001
serC_pdxF	serC	ACBA007.D.00034.C001
pdxB	pdxB	ACBA007.D.00034.C001
pdxA_3	pdxA	ACBA007.D.00034.C001
DXS	DXS	ACBA007.D.00034.C001
pdxH	pdxH	ACBA007.D.00034.C001
yggS	yggS	ACBA007.D.00035.C001
epd	epd	ACBA007.D.00035.C001
pdxJ	pdxJ	ACBA007.D.00035.C001
serC_pdxF	serC	ACBA007.D.00035.C001
pdxB	pdxB	ACBA007.D.00035.C001
pdxA_3	pdxA	ACBA007.D.00035.C001
DXS	DXS	ACBA007.D.00035.C001
pdxH	pdxH	ACBA007.D.00035.C001
pdxH	pdxH	ACBA007.D.00036.C001
DXS	DXS	ACBA007.D.00036.C001
pdxA_3	pdxA	ACBA007.D.00036.C001
pdxB	pdxB	ACBA007.D.00036.C001
serC_pdxF	serC	ACBA007.D.00036.C001
pdxJ	pdxJ	ACBA007.D.00036.C001
epd	epd	ACBA007.D.00036.C001
yggS	yggS	ACBA007.D.00036.C001
yggS	yggS	ACBA007.D.00037.C001
epd	epd	ACBA007.D.00037.C001
pdxJ	pdxJ	ACBA007.D.00037.C001
serC_pdxF	serC	ACBA007.D.00037.C001
pdxB	pdxB	ACBA007.D.00037.C001
pdxA_3	pdxA	ACBA007.D.00037.C001
DXS	DXS	ACBA007.D.00037.C001
pdxH	pdxH	ACBA007.D.00037.C001
yggS	yggS	ACBA007.D.00038.C001
epd	epd	ACBA007.D.00038.C001
pdxJ	pdxJ	ACBA007.D.00038.C001
serC_pdxF	serC	ACBA007.D.00038.C001
pdxB	pdxB	ACBA007.D.00038.C001
pdxA_3	pdxA	ACBA007.D.00038.C001
DXS	DXS	ACBA007.D.00038.C001
pdxH	pdxH	ACBA007.D.00038.C001
pdxH	pdxH	ACBA007.D.00039.C001
DXS	DXS	ACBA007.D.00039.C001
pdxA_3	pdxA	ACBA007.D.00039.C001
pdxB	pdxB	ACBA007.D.00039.C001
serC_pdxF	serC	ACBA007.D.00039.C001
pdxJ	pdxJ	ACBA007.D.00039.C001
epd	epd	ACBA007.D.00039.C001
yggS	yggS	ACBA007.D.00039.C001
yggS	yggS	ACBA007.D.00040.C001
epd	epd	ACBA007.D.00040.C001
pdxJ	pdxJ	ACBA007.D.00040.C001
serC_pdxF	serC	ACBA007.D.00040.C001
pdxB	pdxB	ACBA007.D.00040.C001
pdxA_3	pdxA	ACBA007.D.00040.C001
DXS	DXS	ACBA007.D.00040.C001
pdxH	pdxH	ACBA007.D.00040.C001
pdxJ	pdxJ	ACBA007.D.00041.C001
serC_pdxF	serC	ACBA007.D.00041.C001
pdxB	pdxB	ACBA007.D.00041.C001
pdxA_3	pdxA	ACBA007.D.00041.C001
DXS	DXS	ACBA007.D.00041.C001
pdxH	pdxH	ACBA007.D.00041.C001
yggS	yggS	ACBA007.D.00041.C001
epd	epd	ACBA007.D.00041.C001
pdxJ	pdxJ	ACBA007.D.00042.C001
serC_pdxF	serC	ACBA007.D.00042.C001
pdxB	pdxB	ACBA007.D.00042.C001
pdxA_3	pdxA	ACBA007.D.00042.C001
DXS	DXS	ACBA007.D.00042.C001
pdxH	pdxH	ACBA007.D.00042.C001
yggS	yggS	ACBA007.D.00042.C001
epd	epd	ACBA007.D.00042.C001
pdxJ	pdxJ	ACBA007.D.00043.C001
serC_pdxF	serC	ACBA007.D.00043.C001
pdxB	pdxB	ACBA007.D.00043.C001
pdxA_3	pdxA	ACBA007.D.00043.C001
DXS	DXS	ACBA007.D.00043.C001
pdxH	pdxH	ACBA007.D.00043.C001
yggS	yggS	ACBA007.D.00043.C001
epd	epd	ACBA007.D.00043.C001
yggS	yggS	ACBA007.D.00044.C001
epd	epd	ACBA007.D.00044.C001
pdxJ	pdxJ	ACBA007.D.00044.C001
serC_pdxF	serC	ACBA007.D.00044.C001
pdxB	pdxB	ACBA007.D.00044.C001
pdxA_3	pdxA	ACBA007.D.00044.C001
DXS	DXS	ACBA007.D.00044.C001
pdxH	pdxH	ACBA007.D.00044.C001
yggS	yggS	ACBA007.D.00045.C001
epd	epd	ACBA007.D.00045.C001
pdxJ	pdxJ	ACBA007.D.00045.C001
serC_pdxF	serC	ACBA007.D.00045.C001
pdxB	pdxB	ACBA007.D.00045.C001
pdxA_3	pdxA	ACBA007.D.00045.C001
DXS	DXS	ACBA007.D.00045.C001
pdxH	pdxH	ACBA007.D.00045.C001
yggS	yggS	ACBA007.D.00046.C001
epd	epd	ACBA007.D.00046.C001
pdxJ	pdxJ	ACBA007.D.00046.C001
serC_pdxF	serC	ACBA007.D.00046.C001
pdxB	pdxB	ACBA007.D.00046.C001
pdxA_3	pdxA	ACBA007.D.00046.C001
DXS	DXS	ACBA007.D.00046.C001
pdxH	pdxH	ACBA007.D.00046.C001
pdxH	pdxH	ACBA007.D.00047.C001
DXS	DXS	ACBA007.D.00047.C001
pdxA_3	pdxA	ACBA007.D.00047.C001
pdxB	pdxB	ACBA007.D.00047.C001
serC_pdxF	serC	ACBA007.D.00047.C001
pdxJ	pdxJ	ACBA007.D.00047.C001
epd	epd	ACBA007.D.00047.C001
yggS	yggS	ACBA007.D.00047.C001
yggS	yggS	ACBA007.D.00048.C001
epd	epd	ACBA007.D.00048.C001
pdxJ	pdxJ	ACBA007.D.00048.C001
serC_pdxF	serC	ACBA007.D.00048.C001
pdxB	pdxB	ACBA007.D.00048.C001
pdxA_3	pdxA	ACBA007.D.00048.C001
DXS	DXS	ACBA007.D.00048.C001
pdxH	pdxH	ACBA007.D.00048.C001
yggS	yggS	ACBA007.D.00049.C001
epd	epd	ACBA007.D.00049.C001
pdxJ	pdxJ	ACBA007.D.00049.C001
serC_pdxF	serC	ACBA007.D.00049.C001
pdxB	pdxB	ACBA007.D.00049.C001
pdxA_3	pdxA	ACBA007.D.00049.C001
DXS	DXS	ACBA007.D.00049.C001
pdxH	pdxH	ACBA007.D.00049.C001
yggS	yggS	ACBA007.D.00050.C001
epd	epd	ACBA007.D.00050.C001
pdxJ	pdxJ	ACBA007.D.00050.C001
serC_pdxF	serC	ACBA007.D.00050.C001
pdxB	pdxB	ACBA007.D.00050.C001
pdxA_3	pdxA	ACBA007.D.00050.C001
DXS	DXS	ACBA007.D.00050.C001
pdxH	pdxH	ACBA007.D.00050.C001
yggS	yggS	ACBA007.D.00051.C001
epd	epd	ACBA007.D.00051.C001
pdxJ	pdxJ	ACBA007.D.00051.C001
serC_pdxF	serC	ACBA007.D.00051.C001
pdxB	pdxB	ACBA007.D.00051.C001
pdxA_3	pdxA	ACBA007.D.00051.C001
DXS	DXS	ACBA007.D.00051.C001
pdxH	pdxH	ACBA007.D.00051.C001
pdxH	pdxH	ACBA007.D.00052.C001
DXS	DXS	ACBA007.D.00052.C001
pdxA_3	pdxA	ACBA007.D.00052.C001
pdxB	pdxB	ACBA007.D.00052.C001
serC_pdxF	serC	ACBA007.D.00052.C001
pdxJ	pdxJ	ACBA007.D.00052.C001
epd	epd	ACBA007.D.00052.C001
yggS	yggS	ACBA007.D.00052.C001
pdxH	pdxH	ACBA007.D.00053.C001
DXS	DXS	ACBA007.D.00053.C001
pdxA_3	pdxA	ACBA007.D.00053.C001
pdxB	pdxB	ACBA007.D.00053.C001
serC_pdxF	serC	ACBA007.D.00053.C001
pdxJ	pdxJ	ACBA007.D.00053.C001
epd	epd	ACBA007.D.00053.C001
yggS	yggS	ACBA007.D.00053.C001
pdxH	pdxH	ACBA007.D.00054.C001
DXS	DXS	ACBA007.D.00054.C001
pdxA_3	pdxA	ACBA007.D.00054.C001
pdxB	pdxB	ACBA007.D.00054.C001
serC_pdxF	serC	ACBA007.D.00054.C001
pdxJ	pdxJ	ACBA007.D.00054.C001
epd	epd	ACBA007.D.00054.C001
yggS	yggS	ACBA007.D.00054.C001
pdxH	pdxH	ACBA007.D.00055.C001
DXS	DXS	ACBA007.D.00055.C001
pdxA_3	pdxA	ACBA007.D.00055.C001
pdxB	pdxB	ACBA007.D.00055.C001
serC_pdxF	serC	ACBA007.D.00055.C001
pdxJ	pdxJ	ACBA007.D.00055.C001
